"method","rep","W1","MMD2"
"Summary statistics",1,0.468551517288837,0.255870962442571
"Summary statistics",2,0.477661415224249,0.259833501038224
"Summary statistics",3,0.511033249853538,0.286380556799678
"Summary statistics",4,0.478794504292306,0.242531577415998
"Summary statistics",5,0.423978209922517,0.236372704004002
"Summary statistics",6,0.453007375988642,0.234168528192696
"Summary statistics",7,0.46350766720134,0.243155943861435
"Summary statistics",8,0.406204939658361,0.217441261695627
"Summary statistics",9,0.496645728953043,0.257677177000304
"Summary statistics",10,0.424759090985834,0.240719739707122
"Summary statistics",11,0.469162593726296,0.237752001636737
"Summary statistics",12,0.438347333435088,0.228798962668599
"Summary statistics",13,0.440971610437288,0.233267962899654
"Summary statistics",14,0.470496089740914,0.24711217593208
"Summary statistics",15,0.437438835591781,0.230959606191189
"Summary statistics",16,0.497021804714088,0.265985964359797
"Summary statistics",17,0.464585742008673,0.249411850456356
"Summary statistics",18,0.472004083471989,0.249289259488126
"Summary statistics",19,0.472961759009866,0.264190269517604
"Summary statistics",20,0.41194989314033,0.222460436107823
"MMD",1,0.26207759883545,0.124125797046696
"MMD",2,0.247961492571646,0.102168178357818
"MMD",3,0.302290329368522,0.12119253421198
"MMD",4,0.2819827780625,0.11719126649098
"MMD",5,0.242669730736811,0.106222390872872
"MMD",6,0.322511255649908,0.134091579716381
"MMD",7,0.299573146763573,0.129146661341195
"MMD",8,0.257734900848145,0.106810088585753
"MMD",9,0.289858109166521,0.127891323949939
"MMD",10,0.274445835642402,0.124112565735726
"MMD",11,0.289236981595787,0.130759883348848
"MMD",12,0.220737742529866,0.108047875431011
"MMD",13,0.282920116421184,0.117645314099912
"MMD",14,0.25836087849888,0.120905927224682
"MMD",15,0.289020879108119,0.129917749541295
"MMD",16,0.306501553536533,0.130744471200281
"MMD",17,0.31308779285366,0.135479413742729
"MMD",18,0.253448667929513,0.114084556682753
"MMD",19,0.274403262987787,0.11296386992549
"MMD",20,0.275305463337595,0.124724798864816
"Curve matching",1,0.264051547368424,0.0929982087670033
"Curve matching",2,0.272681645736203,0.113762282283662
"Curve matching",3,0.274129482102607,0.123665968327065
"Curve matching",4,0.262808800902001,0.0988915387580332
"Curve matching",5,0.220106590527038,0.097238974554581
"Curve matching",6,0.271448191031292,0.103146737290313
"Curve matching",7,0.215088338573992,0.0893353785756741
"Curve matching",8,0.268297458285617,0.106175715333781
"Curve matching",9,0.253667297701883,0.103818735267892
"Curve matching",10,0.233998262650739,0.104137201233849
"Curve matching",11,0.262372200376892,0.114829331866172
"Curve matching",12,0.230935159114652,0.099052914916135
"Curve matching",13,0.286663309747325,0.120758254749789
"Curve matching",14,0.207431183726716,0.090141337668849
"Curve matching",15,0.272151944404613,0.116132566463954
"Curve matching",16,0.272690502459914,0.107611404239034
"Curve matching",17,0.299025091950461,0.120642912397655
"Curve matching",18,0.300288565097482,0.12069355598486
"Curve matching",19,0.297559184782773,0.115027004843706
"Curve matching",20,0.278156861504804,0.120938355508544
"Delay reconstruction",1,0.296645245599757,0.128486395883029
"Delay reconstruction",2,0.253587891496505,0.117286300098456
"Delay reconstruction",3,0.269098969839535,0.117518461665496
"Delay reconstruction",4,0.281316170616459,0.11831633872872
"Delay reconstruction",5,0.253144276447663,0.114602244189896
"Delay reconstruction",6,0.282981120028513,0.118140192328687
"Delay reconstruction",7,0.268982826417086,0.116675695009099
"Delay reconstruction",8,0.269524007644533,0.121763050820338
"Delay reconstruction",9,0.317049169839709,0.138931735305906
"Delay reconstruction",10,0.273273861214655,0.12764723539696
"Delay reconstruction",11,0.258898567867,0.121895166488649
"Delay reconstruction",12,0.277099874391315,0.112723456247658
"Delay reconstruction",13,0.284148065519844,0.125853617843046
"Delay reconstruction",14,0.280359552511232,0.127124020122033
"Delay reconstruction",15,0.305531092193619,0.142385294718654
"Delay reconstruction",16,0.295492684400966,0.134956256931061
"Delay reconstruction",17,0.31197792074427,0.141596614699294
"Delay reconstruction",18,0.318931310517141,0.143263340181773
"Delay reconstruction",19,0.264346065807011,0.128478124451995
"Delay reconstruction",20,0.27746087782905,0.125234417441453
